titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
CASA EN VENTA EN VISTA HERMOSA MONTERREY	Vista Hermosa, Monterrey	$ 8,550,000	4					2	True	300					No	3								True			True				True													180	
VENDO CASA EN SAN PEDRO GARZA GARCIA N.L.	San Angel, San Pedro Garza García	$ 32,000,000	3		True		True	3	True	900					No	3	True	True	True	True	11/04/23	True	True	True	True	True	True	True	True		True	True	True	True			True		True		True	True	True	850	True
Montellán	Monterrey	$ 5,400,000	3.5					3		228.4			6.5			3																												347.4	
Casa en Venta CAROLCO 1er Sector , Carretera Nacional, Monterrey	Carolco, Monterrey	$ 11,950,000	4.5				True	3	True	414						3	True		True								True			True	True	True			True					True				294.28	True
VENTA DE CASA EN SIERRA ALTA CARRETERA NACIONAL	Sierra Alta 1a Etapa, Monterrey	$ 15,990,000	5					3		461					No	4																												413	
Casa en Venta en Carretera Nacional	El Uro, Monterrey	$ 14,890,000	5					3		585						3																												488	
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	$ 2,820,000	4	True	True		True	2	True	210					No	3	True	True			14/11/22				True			True	True		True		True	True					True	True	True	True	True	200	True
Venta de casa en La Rioja	Monterrey	$ 7,500,000	4.5					2		309					No	3																												200	
NUEVA en 2 o 3 niveles, con DOBLE ALTURA	Valle de Cumbres Premier, García	$ 5,636,855	3.5				True	2	True	215					No	3					01/04/23			True											True	2023								180	True
Casa en Venta Carretera Nacional, Bosque de las Misiones	Yerbaniz, Santiago	$ 10,250,000	7					3		450					No	4																												318	
Casa en Venta en Residencial Dinastia	Residencial Dinastía, Monterrey	$ 12,200,000	3			True		2	True	445					No	3	True					True		True	True							True							True					257.65	
Casa en Venta Fracc. La Esmeralda en Carretera Nacional	Los Cristales, Monterrey	$ 7,500,000	3					2	True	344					No	3								True																				204	
CASA E N VENTA  ZONA SUR MTY RESIDENCIAL LOS AZULEJOS	Sierra Alta 1a Etapa, Monterrey	$ 17,500,000	6					3		530						4																												412	
VENTA DE CASA EN BOSQUES DE VALLE ALTO CARRETERA NACIONAL	Bosques de Valle Alto, Monterrey	$ 16,800,000	3		True			2	True	678					No	3	True	True		True				True			True				True	True					True		True					350	True
