titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
Casa EN REMATE - Sierra Morena GUADALUPE NL	Sierra Morena, Guadalupe	$ 903,500						165				165		2															3														
Casa en Venta en Residencial las Quintas	Residencial las Quintas, Guadalupe	$ 1,450,000						211				1225		2									1						5														
CASA en Residencial Quetzal!! JC	Ciudad Guadalupe Centro, Guadalupe	$ 1,299,500						100				110		2															3														
Casa en Venta - 18 de Marzo - 31 de Diciembre - Guadalupe - Nuevo Leon - 3 Recamaras	31 de Diciembre, Guadalupe	$ 2,161,837						150				260		2															3														
casa en venta cerca de plaza praderas de la silla en collados de  guadalupe	Guadalupe	$ 960,315	True	True			True	150		True	True	130		2.5		True	True				True	True	2	True		True			3			True				5.5		True					True
Casa en venta en Contry la Silla en Guadalupe Nuevo Leon	Country La Silla Sect 1, Guadalupe	$ 11,000,000						437				590		3									2						3														
Casa en  Torres de San Miguel	Torres de San Miguel, Guadalupe	$ 1,934,000						90				90		2															3														
VENTA DE CASA  PRIVADA PURISIMA	La Purísima, Guadalupe	$ 2,500,000						100				102		1				2008					2						3														
Casa en la Colonia Contry la silla en guadalupe nuevo león	Country La Silla Sect 1, Guadalupe	$ 6,500,000						265				300		3									2						3														
casa en venta las aguilas en guadalupe	Guadalupe Victoria, Guadalupe	$ 11,940,000						401				505		6									3						3														
PRO5552 Casas en Venta, 3 Caminos en Guadalupe	3 Caminos, Guadalupe	$ 1,500,000						190				105		3															4														
Venta Casa Col. Tres Caminos, 3er Sector, Gpe, N.L.	3 Caminos, Guadalupe	$ 1,470,000						200				105		2									1						4														
Casa en venta de REMATE BANCARIO en col. Sierra Morena, Guadalupe, Nuevo León.	Sierra Morena, Guadalupe	$ 970,300						100				80		2															3														
Casa en venta en Contry La Silla en Guadalupe	Country La Silla Sect 1, Guadalupe	$ 8,600,000						340				256		4				2003					2						4														
CASA EN PRADERAS DE GUADALUPE NUEVO LEON A 5 MINUTOS DE LA CRUZ VERDE SANTA CRUZ	Praderas de Guadalupe, Guadalupe	$ 783,985						140				140		3							True		2						4						No								
Casa en VENTA zona contry cerca del cerro de la silla	Country La Silla Sect 1, Guadalupe	$ 8,900,000						486				391		5									4						3														
PRO5507 Casas en Venta, La Hacienda en Guadalupe	La Hacienda, Guadalupe	$ 3,980,000						226				216		3															4														
CASA EN VENTA EN CONTRY AL SUR DE MONTERREY !!!	Country La Silla Sect 4, Guadalupe	$ 15,500,000						800				452		5									4						5														
VENTA DE CASA EN VALLE DE SAN RAFAEL, NUEVO LEON	Valle San Rafael, Guadalupe	$ 1,029,000						105				105		1.5			True				True		2	True					3						No			True			True		True
CasasenVentaenFaisanes Sur	Los Faisanes, Guadalupe	$ 3,500,000						288				97		5															2														
Casa en Venta Praderas de Guadalupe REMATE	Praderas de Guadalupe, Guadalupe	$ 860,655						90				90		2															3														
Casa de 2 Recámaras, Collados de Guadalupe NL	Collados de Guadalupe, Guadalupe	$ 997,882						75				75		1															2														
Casa en Fraccionamiento Paseos de Guadalupe en Nuevo León	Praderas de Guadalupe, Guadalupe	$ 870,830						80			True	80		1.5		True							2	True				True	2						No			True					True
Casa en Venta en Lindero Guadalupe Nuevo Leon	Villa de San Miguel, Guadalupe	$ 978,960					True	150				150		2.5							True			True					3						No								True
CASA EN VENTA EN CONTRY LA SILLA (8 sector)	Country La Silla Sect 1, Guadalupe	$ 12,600,000						465				351		6									4						4														
CASA EN VENTA RESIDENCIAL TALAVERNA	Talaberna, Guadalupe	$ 4,500,000						244				309						6					2						3														
CASA IDEAL PARA REMODELAR	Colinas Del Rey, Guadalupe	$ 1,025,000						120				120		1									1						1														
CASA EN VENTA CONTRY LA SILLA 1er SECTOR	Country La Silla Sect 1, Guadalupe	$ 11,500,000						379				875		4				1985					5						5														
Contry La Silla Guadalupe Nuevo León recámara y baño en planta baja	Guadalupe	$ 8,100,000						340				256		4	07/03/22								2						4						No								
CASA EN VENTA COLONIA BOSQUES DE LA PASTORA ZONA GUADALUPE	Bosques de La Pastora, Guadalupe	$ 9,590,000						633				472		3															4														
PRO4011 Casas en Venta, Contry Sol en Guadalupe	Country Sol Sect 1, Guadalupe	$ 17,000,000						797				585		6									6						6														
CASA EN VENTA COLONIA TACUBAYA	Tacubaya, Guadalupe	$ 2,800,000						167				160		3				10											5														
RESIDENCIA EN CONTRY SOL3er SECTOR	Country Sol Sect 1, Guadalupe	$ 16,000,000						686				494		6									3						5														
Casa en Venta en Contry La Escondida, Guadalupe	Country La Escondida, Guadalupe	$ 24,500,000						1170				1440		8				1989					8						4														
JF VENTA DE CASA EN SIERRA MORENA GUADALUPE	Sierra Morena, Guadalupe	$ 2,000,000						211				119		3				2008					2						3														
PRO5588 Casas en Venta, Las Aguilas en Guadalupe	Las Águilas, Guadalupe	$ 11,940,000						401				505		6									3						3														
CASA NUEVA POR TERMINAR  EN VENTA CONTRY LA SILLA 6 SECT. ,PRIVADA !!!	Country La Silla Sect 1, Guadalupe	$ 15,800,000						600				575		6				2019					4						3														
CasasenVentaenValle del Contry	Valle Del Country, Guadalupe	$ 7,500,000						300				175		3															3														
Casa en venta en Contry La Silla en Guadalupe	Country La Silla Sect 4, Guadalupe	$ 15,500,000						461				542		4				2010					2						3														
Casa en venta La Purísima, Guadalupe N.L.	La Purísima, Guadalupe	$ 2,700,000						193				126		2				1897					2						4														
CASA EN VENTA EN LOS FAISANES, GUADALUPE	Ciudad Guadalupe Centro, Guadalupe	$ 2,600,000						94				198		2															3														
Casa en Venta en Alfonso Martinez Dominguez	Alfonso Martinez Dominguez, Guadalupe	$ 2,000,000						243				120		2									3						7														
Casa en Venta en Mision de Guadalupe	Misión de Guadalupe, Guadalupe	$ 1,695,000						150				105		2															3														
Casa en Venta en Contry Residencial Las Águilas	Las Águilas, Guadalupe	$ 23,700,000						600				420		4									3						3														
Casa en Venta, Guadalupe, Nuevo León	Country La Silla Sect 1, Guadalupe	$ 8,000,000						345				249		2									3						3														
Casa en Venta en Colonia  Las Villas, Nuevo Leon	Las Villas, Guadalupe	$ 601,315	True					380				220		3			True			True	True		2	True				True	4						No			True					True
Casa en venta Ribera de Dos Ríos, Guadalupe N.L	Riberas de Dos Ríos, Guadalupe	$ 2,500,000						183				122		2				2017					2						3														
Casa en Venta en Contry Las Águilas Residencial	Las Águilas, Guadalupe	$ 18,200,000						480				396		3									3						3														
Casa en Lindavista	Lindavista, Guadalupe	$ 3,500,000						217				140		2															4														
CASA EN VENTA CONTRY LA SILLA	Country La Silla Sect 1, Guadalupe	$ 18,000,000						568				708		5									4						4														
CAB Casa en Venta Recuperación de Cartera,Molino Del Rey,Gudalupe N.L	Molino Del Rey, Guadalupe	$ 570,624						140				161		2									2						4						No								
Casa en Venta en Contry la Silla	Country La Silla Sect 1, Guadalupe	$ 12,600,000						465				351		4									2						4														
Casa en Venta en Roble Santa Maria	Roble Santa Maria, Guadalupe	$ 1,980,000						173				108		2									2						3														
Casa en Venta en Santa Maria	Santa Maria, Guadalupe	$ 1,980,000						173				108		2									2						3														
Casa en Venta en Riberas del Rio	Riberas Del Rio Sector I, Guadalupe	$ 1,350,000						160				102		2															3														
A,Bugambilias del Monte,Residencial Bugambiliasde La Sierra,Guadalupe Nuevo Leon	Bugambilias de La Sierra, Guadalupe	$ 1,095,200	True					100		True	True	120	True	1.5		True							1	True		True		True	3			True	True		No			True		True	True		True
CasasenVentaenBosques del Contry	Bosques Del Country A, Guadalupe	$ 4,050,000						126				144		2															3														
Venta de Casa en Residencial Guadalupe, Guadalupe	Residencial Guadalupe, Guadalupe	$ 1,480,000						85				105		1									2						3														
Casa en Venta en 3 Caminos	3 Caminos, Guadalupe	$ 1,550,000						124				124		4									2						4														
Casa en Venta en Praderas de Guadalupe	Praderas de Guadalupe, Guadalupe	$ 1,200,000						95				144		1									1						3														
Casa en Venta en  Colonia Evolución, en Guadalupe NL	Veteranos de La Revolución, Guadalupe	$ 860,000						97				105		1															2														
Casa venta LINDA VISTA	Lindavista, Guadalupe	$ 3,650,000						128				220																															
CASA EN VENTA EN ESQUINA LINDA VISTA,GUADALUPE,N.L.!!	Lindavista, Guadalupe	$ 6,900,000						340				374		3									6						4														
Casa en Venta 18 de Marzo Col. 31 de Diciembre, Guadalupe, Nuevo Leon	31 de Diciembre, Guadalupe	$ 2,161,837										260		2															3														
Casa - Cerradas de Lindavista	Cerradas de Lindavista, Guadalupe	$ 3,200,000						165				120		3															3														
CASA EN VENTA EN PRADERAS DE LA SILLA	Praderas de La Silla, Guadalupe	$ 1,800,000						119				105		2									2						3														
Casa en Fraccionamiento Dos Ríos	Riberas de Dos Ríos, Guadalupe	$ 725,000						70				70		2															2														
CASA EN VENTA EN CONTRY LAS AGUILAS	Las Águilas, Guadalupe	$ 23,400,000						750				1000		5				2003					4						3														
CASA EN VENTA EN LINDA VISTA	Lindavista, Guadalupe	$ 3,200,000						217				140		2															4														
CasasenVentaenLa Amistad	La Amistad, Guadalupe	$ 2,450,000						252				160		3															4														
CASA EN VENTA PRADERAS DE LA SILLA GUADALUPE	Praderas de La Silla, Guadalupe	$ 1,750,000						93				100		2															3														
Casa en Venta en Villa Española	Villa Española, Guadalupe	$ 1,650,000						135				136		3									2						3														
Casa en Venta en Jose Luis Mora	Jose Luis Mora, Guadalupe	$ 1,550,000						196				160		2									6						4														
CasasenVentaenBosques del Contry	Bosques Del Country A, Guadalupe	$ 4,800,000						256				140		4															3														
Casa en Venta en Balcones de San Miguel	Balcones de San Miguel, Guadalupe	$ 1,600,000						179				90		2															4														
Casa en Venta en Serena	Ciudad Guadalupe Centro, Guadalupe	$ 1,600,000						120				120		2									2						3														
Casa en Venta en Pedregal de Lindavista	Pedregal de Lindavista, Guadalupe	$ 1,600,000						180				90		3									2						4														
CASA EN VENTA EN GUADALUPE, NUEVO LEON	Los Olivos, Guadalupe	$ 1,293,980						154				134		2.5									2						3														
CASAS EN VENTA LAS ÁGUILAS	Las Águilas, Guadalupe	$ 18,500,000						530				522																															
Casa en Venta en Paseo San Miguel	Paseo San Miguel, Guadalupe	$ 1,550,000						96				105		1									1						3														
CASA EN VENTA cerca de eloy cavazos TIERRA PROPIA GUADALUPE	Tierra Propia Sect 1, Guadalupe	$ 690,000						91				126		2															5														
Casa en venta Valle del Contry al Sur de Monterrey	Valle Del Country, Guadalupe	$ 3,800,000						148				147		2				1990					1						3														
Casa en Venta en Privadas Masai	Privadas Del Rey, Guadalupe	$ 1,516,000						154				112		3															3														
Casa en Venta en Torres de San Miguel, Guadalupe	Torres de San Miguel, Guadalupe	$ 2,800,000						164				180		4															5														
Casa en Venta en Rincon de Guadalupe	Rincón de Guadalupe, Guadalupe	$ 1,380,000						126				105		1									1						3														
CASA EN VENTA EN CONTRY LA ESCONDIDA  GUADALUPE	Country La Escondida, Guadalupe	$ 17,000,000						1053				800		8									5						5														
CASA EN VENTA EN JARDINES DE ANDALUCIA EN GUADALUPE EN NL	Jardines de Andalucía, Guadalupe	$ 1,850,000						118				105		2									2						3														
Casa - Monterrey	Pedregal de Lindavista, Guadalupe	$ 2,499,999						175				90		2															3														
Casa en Venta en Azteca	Residencial Azteca, Guadalupe	$ 1,500,000						95				160		2									2						3														
Casa en Venta en Santa Cruz	Santa Cruz, Guadalupe	$ 1,400,000						134				150		2															4														
Casa en Venta en Lomas de San Roque	Lomas de San Roque, Guadalupe	$ 1,050,000						84				75		2									1						3														
372406- CASA EN VENTA EN COL. BELLO AMANECER RESIDENCIAL EN GUADALUPE NUEVO LEON	Bello Amanecer Residencial, Guadalupe	$ 1,300,000						96				111		1									2						3														
Casa en Venta en Tacubaya	Tacubaya, Guadalupe	$ 1,750,000						262				364		4									2						5														
Casa en Venta en Jardines de Andalucia	Jardines de Andalucía, Guadalupe	$ 1,735,017						108				108		2									2						3														
VENTA CASA COLONIA LINDA VISTA EN NV GUADALUPE NUEVO LEON	Lindavista, Guadalupe	$ 3,200,000						217				140		2									1						4														
Casa en venta Cerradas de Linda Vista, Guadalupe N.L	Cerradas de Lindavista, Guadalupe	$ 3,650,000						240				120		3				1990					2						2														
Casa en Venta en Paseo Amberes, Guadalupe	Ciudad Guadalupe Centro, Guadalupe	$ 1,730,000						121				105		2															3														
Casa en Fracc. Privada San Miguel, Guadalupe, Nuevo León. **Remate Bancario**.	Privada San Miguel, Guadalupe	$ 579,000						120				90		2									2						3														
Casa en Venta en El Quetzal	Ciudad Guadalupe Centro, Guadalupe	$ 1,720,000						220				105		3									2						3														
Casa en Venta Guadalupe	Adolfo Prieto Sect 1, Guadalupe	$ 2,899,000						180				250		1									2						3						No								
Casa en Venta para Remodelar en Colonia 15 de Mayo en Guadalupe NL	Ribera de Lindavista, Guadalupe	$ 950,000						100				160																															
"2MP-CASA VENTA LORCA#PRIVADAS DE SAN MIGU	GUADALUPE	NUEVO LEON"	Privada San Miguel, Guadalupe	$ 387,519						103			True	84		2							True		2	True				True	3						No			True					
Casa en Venta en Mision Santa Fe	Misión Santa Fe, Guadalupe	$ 1,349,000						113				96		1									1						3														
Casa en Venta en Contry La Costa	Country La Costa, Guadalupe	$ 7,950,000						368				301		4															3														
Casa en Venta en Jardines la Pastora	Jardines La Pastora, Guadalupe	$ 1,830,000						168				161		1															4														
Casa - Lindavista	Lindavista, Guadalupe	$ 2,900,000						160				163		2															3														
Casa en Venta en Los Faisanes	Los Faisanes, Guadalupe	$ 1,800,000						100				100		2									1						3														
GS2 CASA EN FRANCISCO PRIMO VERDAD, CERRADA MÉXICO, GUADALUPE, NUEVO LEÓN	México Nuevo, Guadalupe	$ 1,025,000						120				120		1									1						3						No								
397285 CASA EN VENTA EN VALLE DE LOS ENCINOS EN GUADALUPE	Valle de los Encinos, Guadalupe	$ 750,000						65				240		1																													
372183-CASA EN VENTA EN FRACC. COLINAS DEL REY EN GUADALUPE, N.L.	Colinas Del Rey, Guadalupe	$ 1,700,000						192				96		3									1						3														
CasasenVentaenResidencial las Quintas	Residencial las Quintas, Guadalupe	$ 1,300,000						68				75		1															2														
CasasenVentaenPrivada San Carlos	Privada San Carlos, Guadalupe	$ 1,500,000						90				105		1															3														
Casa en Venta en Roble Santa Maria	Roble Santa Maria, Guadalupe	$ 1,300,000						96				117		2															3														
Casa en Venta en Los Faisanes	Los Faisanes, Guadalupe	$ 1,700,000						100				87		2															4														
CASA EN VENTA RIO VERDE Col. RIVERAS DEL CONTRY , GUADALUPE , NL . SOLO EFECTIVO	Riberas Del Country, Guadalupe	$ 452,500	True					130		True		90		1	27/06/22	True	True			True	True		1	True				True	3	True		True			No						True		
CASA EN RIO LA SILLA EN LA HERRADURA, GUADALUPE NUEVO LEON	La Herradura, Guadalupe	$ 850,720						220				150		3	25/03/23								1						4						No								
CASA EN VENTA EN JARDINES DE ANDALUCIA EN GUADALUPE EN NUEVO LEON	Jardines de Andalucía, Guadalupe	$ 2,500,000						160				105		2									1						3														
CASA EN VENTA EN COLONIA RINCON DE LA SIERRA	Rincón de La Sierra, Guadalupe	$ 4,000,000						216				490		2									2						2														
Casa en Venta en Nuevo San Miguel	Nuevo San Miguel, Guadalupe	$ 1,200,000						650				380		3															5														
Casa en Venta en Paraiso	Paraíso, Guadalupe	$ 1,600,000						120				160		1									2						3														
Casa en Venta en Valle de San Antonio, Guadalupe	Valle de San Antonio, Guadalupe	$ 2,250,000						167				198		1															1														
Casa en Venta en Fuentes de San Miguel	Fuentes de San Miguel, Guadalupe	$ 1,250,000						90				70		1									2						3														
Casa en Venta en Pedregal de Lindavista	Pedregal de Lindavista, Guadalupe	$ 1,600,000						112				90		1									2						2														
CASA EN VENTA EN LA COLONIA CAMINO REAL EL GUADALUPE NUEVO LEON	Camino Real, Guadalupe	$ 2,200,000						150				124		2									1						5														
Casa en Venta en Nueva Linda Vista	Lindavista, Guadalupe	$ 1,940,000						128				90		2															3														
CASA EN VENTA EN EL FRACC. EL PEÑÓN, GUADALUPE, NUEVO LEON	El Peñón, Guadalupe	$ 546,700						141				90		2									1						3														
Casa en Venta en Privadas de San Miguel	Privada San Miguel, Guadalupe	$ 1,750,000						209				100		2									2						3														
CASA DE RECUPERACION Álamo Col.Bosques del Contry ,Guadalupe, NL.*SOLO EFECTIVO	Bosques Del Country A, Guadalupe	$ 751,575	True					230		True		260		2	01/11/22	True	True		True		True		2	True		True		True	4	True		True			No						True		
Casa en Venta en Esmeralda	Esmeralda, Guadalupe	$ 1,850,000						150				80		3									2						2														
Casa en Venta en Dos Rios Sect II	Riberas de Dos Ríos, Guadalupe	$ 1,850,000						173				90		3									1						4														
VENTA DE CASA PRADERAS DE GUADALUPE GPE NUEVO LEON BOK78718 DM	Praderas de Guadalupe, Guadalupe	$ 820,000						120				95		2									2						3							5							
Casa en Venta en Guadalupe LPC	Guadalupe Victoria, Guadalupe	$ 750,000						105				189		2									2						3														
CasasenVentaenVilla de San Miguel	Villa de San Miguel, Guadalupe	$ 1,360,000						199				153		2															3														
LOMAS DE SAN MIGUEL Casa en Venta en Guadalupe MZC	Lomas de San Miguel, Guadalupe	$ 790,000						69				90		1									1						2														
CASA EN VENTA EN COLONIA  BOSQUES DEL SOL EN APODACA EN NUEVO LEON	Bosques Del Sol, Guadalupe	$ 1,250,000						179				97		1									1						3														
Casa en Venta en Santa Isabel	Santa Isabel, Guadalupe	$ 1,950,000						140				235		1									2						3														
Casa en venta Linda Vista, Guadalupe N.L	Ribera de Lindavista, Guadalupe	$ 5,000,000						592				250		4									2						6														
Casa en Venta en Residencial Santa María	Santa Maria, Guadalupe	$ 1,600,000						86				108		1									1						2														
Casa en Venta en Nueva Exposicion	Nueva Exposición, Guadalupe	$ 1,500,000						300				131		35															4														
Casa en Venta en Valle de Guadalupe	Valle de Guadalupe, Guadalupe	$ 1,700,000						160				105		1															3														
Casa en Venta en Santa Maria	Santa Maria, Guadalupe	$ 1,500,000						138				103		1									2						3														
Casa en La Comedia Guadalupe Nuevo Leon.	La Comedia, Guadalupe	$ 874,720						120				100		2	28/10/21						True			True					3									True					
CASA VENTA RECUPERACION C. Maple Col. Bosques del Contry Sector B-5, Guadalupe ,	Bosques Del Country B, Guadalupe	$ 750,800	True					180		True		150		2	17/11/22	True	True		True	True	True		2	True		True		True	3	True		True			No		True			True	True		
AF VENTA DE CASA EN RIO ORINOCO  Dos Ríos, Guadalupe Nuevo León	2 Ríos, Guadalupe	$ 480,800						80				100		1									1						2														
Casa en Venta Contry Sol	Country Sol Sect 1, Guadalupe	$ 7,000,000						342				272		3									3						3														
Casa en Venta en SIERRA MORENA	Sierra Morena, Guadalupe	$ 1,300,000						125				105		2									1						3														
CASA EN VENTA para remodelar FRACCIONAMIENTO TAMAULIPAS GUADALUPE	Tamaulipas, Guadalupe	$ 850,000						57				196		1															3														
Casa en Venta en Santa Clara	Santa Clara, Guadalupe	$ 1,300,000						99				106		1									2						2														
Casa en Venta en Jardines Nueva Lindavista	Jardines Nueva Lindavista, Guadalupe	$ 1,581,000						99				105		1									2						3														
CasasenVentaenLa Quinta	La Quinta, Guadalupe	$ 1,650,000						105				140		1															3														
428050 CASA EN VENTA EN COL. VILLA DE SAN MIGUEL EN GUADALUPE, N.L.	Villa de San Miguel, Guadalupe	$ 1,550,000						137				120		2									1						4														
Casa en Venta en Esmeralda	Esmeralda, Guadalupe	$ 1,500,000						291				157		4															6														
Casa en Venta en Guadalupe la Silla	Guadalupe La Silla, Guadalupe	$ 1,300,000						90				90		2									2						3														
Casa en Venta en Cañada Blanca	Cañada Blanca, Guadalupe	$ 1,040,000						210				105		2															3														
Privada San Carlos, Calle Camargo #2035 Gpe. NL	Privada San Carlos, Guadalupe	$ 2,250,000						168				112		2									2						3														
CasasenVentaenLibertad	Libertad, Guadalupe	$ 4,600,000						386				320		3															6														
VENTA ESTRATÉGICA p` Negocio o Casa, en AV. ISRAEL CAVAZOS frente OXXO GAS	Valle Soleado, Guadalupe	$ 765,000						95				105		1									1						2							3							
CASA RECUPERACION BANCARIA Río La Silla Col. La Herradura, Guadalupe, N.L.	La Herradura, Guadalupe	$ 850,720	True					190		True		200		2	01/11/22		True		True		True		1	True		True		True	3	True					No						True		
Casa en Venta en Esmeralda	Esmeralda, Guadalupe	$ 1,850,000						179				115		3															3														
Casa en venta La Purísima, Guadalupe N.L.	La Purísima, Guadalupe	$ 4,510,000						480				324		2				1990					4						7														
Casa en Venta en Jardines de San Rafael	Jardines de San Rafael, Guadalupe	$ 1,700,000						100				160		2															3														
VENTA CASA RIBERAS DEL COUNTRY, NUEVO LEON	Riberas Del Country, Guadalupe	$ 452,500						150				140		2		True							2						3						No								
CAB Venta Recuperación de Cartera,Lomas De San Miguel,Guadalupe, N.L	Lomas de San Miguel, Guadalupe	$ 364,280						154				105		2									1						3						No								
REMATO CASA EN RIVERAS DEL CONTRY GUADALUPE NUEVO LEON	Guadalupe Victoria, Guadalupe	$ 1,178,896						160						2									2						3														
PRECIOSA CASA EN REMATE EN LA TRINIDAD GUADALUPE NUEVO LEON	La Trinidad, Guadalupe	$ 602,800					True	81		True		92		1			True				True		2	True				True	2														True
CASA EN VENTA REMATE BNCARIO EN GUADALUPE, NUEVO LEON, LOMAS DE SANMIGUEL	Lomas de San Miguel, Guadalupe	$ 344,280	True				True	140			True	110		1.5							True		1						3									True					
Casa en Venta en Privada San Carlos	Privada San Carlos, Guadalupe	$ 1,349,000						113				96		1									1						3														
MGM. CASA DE REMATE BANCARIO. LINDERO, VILLAS DE SAN MIGUEL, N.L.	Villa San Miguel, Guadalupe	$ 560,000						210				150		2									1						3														
Casa en Fracc. Lomas de San Miguel, Guadalupe, Nuevo León. **Remate Bancario**.	Lomas de San Miguel, Guadalupe	$ 480,320						90				105		2									1						3														
CasasenVentaenLos Faisanes Sector el Dorado	Los Faisanes, Guadalupe	$ 2,500,000						162				114		2															3														
CASA RECUPERACION BANCARIA Quiché  Col. Azteca, Guadalupe, N.L.*SOLO EFECTIVO**	Ciudad Azteca, Guadalupe	$ 683,753	True					140		True		170		1	01/11/22		True		True		True		1					True	2						No						True		
CASA DE RECUPERACION BANCARIA Irupé Col. Trece de Mayo ,Guadalupe,N.L.*SOLO EFEC	13 de Mayo, Guadalupe	$ 685,896	True					150		True		120		1	01/11/22	True	True		True		True		2	True				True	3	True					No						True		
Loma Redonda, Lomas de San Miguel, Guadalupe, Nuevo León	Lomas de San Miguel, Guadalupe	$ 454,058	True					105		True	True	115		1.5		True							1	True				True	3			True	True		No			True			True		
Casa en Guadalupe	Ciudad Guadalupe Centro, Guadalupe	$ 2,500,000						182				122		2															3														
Casa en Venta en Riberas de Dos Ríos	Riberas de Dos Ríos, Guadalupe	$ 1,237,471						180				180		2									2						3														
Casa en Venta en Mision del Valle	Misión Del Valle, Guadalupe	$ 1,250,000						90				90		1															2														
Casa en Venta en Santa Cruz	Santa Cruz, Guadalupe	$ 1,175,000						116				94		2									1						2														
CASA EN VENTA EN Matachines Azteca Guadalupe Nuevo Leon	Azteca Sect 5, Guadalupe	$ 856,100						110				95		2									2						2														
Casa en venta Jardines de Andalucía	Jardines de Andalucía, Guadalupe	$ 1,950,000										105		4									1						3														
CASA RECUPERACION BANCARIA EN Jardines De Vizcaya Col.Jardines De Andalucia, GUA	Jardines de Andalucía, Guadalupe	$ 860,000	True					75				90		1	01/11/22	True	True			True	True		1	True		True		True	2	True					No						True		
CASA EN PREVENTA EN GUADALUPE	Ciudad Guadalupe Centro, Guadalupe	$ 2,275,000						170				105		2									2						3														
Casa en Río Verde, Riberas del Contry, Guadalupe, N.L.	Riberas Del Country, Guadalupe	$ 452,500	True		True			140		True		110		2	01/04/23						True		2						2						No			True					True
ST7013 CASA EN REMATE EN GUADALUPE NL dm	México 86, Guadalupe	$ 612,728						120				98		2	22/04/22								2						3							5							
Casa ADJ., Olivo, Valles de La Silla, Guadalupe, Nuevo León	Valles de La Silla, Guadalupe	$ 493,000	True					91		True	True	120		1.5					True				1	True				True	3			True			No			True			True		
Casa en Col. Villas de San Miguel, Guadalupe, Nuevo León. **Remate**.	Villa San Miguel, Guadalupe	$ 560,000						210				150		3									2						4														
CASA EN VENTA EN GUADALUPE, NUEVO LEÓN	Riberas Del Country, Guadalupe	$ 452,400						142				113		2.5									2						3						No								
Quinta en Venta en Guadalupe Centro	Ciudad Guadalupe Centro, Guadalupe	$ 1,700,000						189				165		1															2														
CASA EN VENTA EN Matachines Azteca Guadalupe Nuevo Leon	Ciudad Azteca, Guadalupe	$ 859,100						160				130		2									2						3														
Casa en Fracc. Los Sauces, Guadalupe, Nuevo León.**Remate Bancario**.	Los Sauces, Guadalupe	$ 946,033						220				150		3									2						3														
JC-OPORTUNIDAD CASA EN NUEVO LEON 5531430290	Valle La Silla, Guadalupe	$ 526,800						70				80	True	1									1						2						No								True
CASA EN VENTA CENTRO DE GUADALUPE	Ciudad Guadalupe Centro, Guadalupe	$ 1,954,000						239				144		4									2						4														
CASA EN VENTA cerca la pastora CONTRY LOS ENCINOS GUADALUPE	Los Encinos, Guadalupe	$ 11,500,000						444				420		3															3														
CASA EN VENTA COLONIA MISION SANTA FE GUADALUPE NL	Misión Santa Fe, Guadalupe	$ 1,550,000												2															3														
Casa en Venta en MISION SANTA FE	Misión Santa Fe, Guadalupe	$ 1,950,000						144				156		2									1						4														
Casa en Venta en Camino Real, Guadalupe	Camino Real, Guadalupe	$ 2,200,000						156				119		2															3														
Remate Bancario en Riveras del Contry, Nuevo Leon	Contry Sol, Guadalupe	$ 452,500						125				114		2									2						3						No								
Casa en Venta en Riberas del Rio	Riberas Del Rio Sector I, Guadalupe	$ 1,450,000						128				75		2									1						3														
RR REMATES BANCARIOS CASA DE 2 P COL LAS VILLAS	Las Villas, Guadalupe	$ 715,492						200				177		3									2						4						No								
CasasenVentaenLibertad	Libertad, Guadalupe	$ 5,900,000						244				225		2															3														
Casa en Venta en 13 de Mayo	13 de Mayo, Guadalupe	$ 1,470,000						210				170		2									2						7														
CASA EN VENTA EN COL. EL PEÑÓN, GUADALUPE, NUEVO LEON	El Peñón, Guadalupe	$ 546,700						90				140		2									1						3														
Casa LIT., Chinipas, Santa Clara, Guadalupe, Nuevo León	Santa Clara, Guadalupe	$ 532,615	True					115	True	True	True	120	True	2		True				True			1	True		True		True	3	True		True	True		No			True		True	True		
EXCELENTE VENTA DE CASA EN NUEVO LEÓN, NO SÉ ACEPTAN CRÉDITOS.	Los Sauces, Guadalupe	$ 996,032						100			True	120		2					True				1	True					3						No								
AOF VENTA DE CASA EN LINDAVISTA REMATE BANCARIO	Lindavista, Guadalupe	$ 1,207,870						96				86		1	28/03/22								1						3						No								
Casa en Venta en Los Faisanes Sector el Dorado	Los Faisanes, Guadalupe	$ 1,890,000						128				105		2									2						3														
Casa en Venta en Privadas de Linda Vista	Privadas de Lindavista, Guadalupe	$ 1,800,000						165				90		2									1						4														
CASA EN VENTA COL. RIBERAS DEL RÍO EN GUADALUPE	Riberas Del Rio Sector I, Guadalupe	$ 1,800,000						168				105		2									1						3														
Casa en Venta en 2 de Mayo	10 de Mayo, Guadalupe	$ 1,950,000						304				160		4									1						4														
